```
D:\dev\blog\monblue.github.io\_apps\_myApps node replaceBook.js
```

용어(한자)	동의어(한자)
形體和官竅	身體構造
形體	
皮毛	
腠理	
玄府	
氣門	
赤白肉際	
筋	
宗筋	
溪谷	
膻中	
胃脘	
胸脇	
募原	膜原
膏肓	
小腹	少腹
臍傍	
臍下	
丹田	
骸	百骸
眉稜骨	
頸骨	
脊	
腰骨	
輔骨	
高骨	
胂	
精明之府	
腦戶	
太陽	太陽穴
官竅	
五官	
七竅	
上竅	
下竅	
苗竅	
五輪	
八廓	
氣輪	
水輪	
血輪	
風輪	
肉輪	
大眥	
銳眥	小眥
淚堂	
白睛	
黑睛	
瞳神	
神水	
神膏	
目系	
目眶	目眶骨
目上網	
目下網	
明堂	
鼻準	
山根	
頞	鼻莖
眞牙	
蒂丁	小舌
喉核	
喉關	
喉嗌	
喉底	
頏顙	
精室	
精竅	
睾	
前陰	
後陰	
衛分	
氣分	
營分	
血分	
病因	
病因	
病因學說	
病邪	邪氣, 邪
外邪	客邪
時邪	
陽邪	
陰邪	
合邪	
外感	
六淫	
風	風邪
寒	寒邪
暑	暑邪
濕	濕邪
燥	燥邪
火	火邪
熱	熱邪
外風	
外寒	
外濕	
外燥	
內風	
內寒	
內濕	
內燥	
風寒	
風熱	
風濕	
風燥	
風痰	
寒濕	
風寒濕	
濕熱	
濕火	
濕濁	
濁邪	
穢濁	
暑氣	
暑熱	
暑濕	
燥氣	
燥熱	
凉燥	
溫燥	
溫邪	
疫癘	
伏氣	伏邪
時行戾氣	癘氣, 疫毒
毒	
熱毒	
火毒	
濕毒	
寒毒	
時毒	
麻毒	
內毒	
胎毒	
蠱毒	
瘴毒	瘴氣, 山嵐瘴氣
惡氣	
內傷	
五志	
五志過極	
五志化火	
七情	
喜	
怒	
憂	
思	
悲	
恐	
驚	
勞倦	
房勞	
五味偏嗜	
飮食不節	
酒癖	
水土不服	
痰飮	
痰	
飮	水飮
水濕	
痰濕	
瘀血	
稟賦不足	
三因	
內因	
外因	
不內外因	
病機	
病機	
病機學說	
病位	
病性	
病證	
正邪相爭	
邪正盛衰	邪正消長
卒發	
徐發	
勞復	
食復	
女勞復	
陰陽離決	
陰陽失調	陰陽不和
陰陽偏盛	
陰陽偏衰	
陰陽自和	
傷陽	
傷陰	
陽損及陰	
陰損及陽	
陰虛	
陰虛內熱	
陰虛陽亢	
陰虛火旺	
虛火	
虛火上炎	
相火妄動	
陰盛	
陰盛陽衰	
陽虛	
陽虛陰盛	
陽盛	
陽盛陰衰	
陰陽格拒	
陰盛格陽	格陽
陽盛格陰	格陰
戴陽	
陰陽兩虛	
虛陽上浮	孤陽上越
亡陰	脫陰, 陰脫
亡陽	脫陽, 陽脫
陽亡陰竭	
陰竭陽脫	
內閉外脫	
結陰	
結陽	
表裏	
半表半裏	
表寒	
表熱	
表虛	
表實	
裏寒	
裏熱	
裏虛	
裏實	
表寒裏熱	
表熱裏寒	
表虛裏實	
表實裏虛	
表裏俱寒	
表裏俱熱	
表裏俱實	
表裏俱虛	
表裏同病	
表氣不固	衛氣不固
表邪內陷	
熱邪傳裏	
表邪入裏	
裏病出表	
寒熱	
實寒	
虛寒	
熱結下焦	
下焦濕熱	濕熱下注
熱盛傷津	
寒包火	
寒熱錯雜	
上熱下寒	
上寒下熱	
寒熱格拒	
眞寒假熱	
眞熱假寒	
虛實	
虛	
實	
虛實夾雜	
實中夾虛	
虛中夾實	
上虛下實	
上盛下虛	上實下虛
虛實眞假	
眞實假虛	
眞虛假實	
由實轉虛	
由虛轉實	
氣虛	
氣虛不攝	氣不攝血
氣虛中滿	
氣虛血瘀	
氣機失調	
氣機鬱滯	氣鬱
氣鬱化火	
氣機不利	
氣化不利	
氣逆	
氣陷	
中氣下陷	
氣滯	
寒凝氣滯	
氣閉	
氣脫	
血虛	
血瘀	
血逆	
血熱	
血寒	
血隨氣逆	
亡血	血脫
氣血失調	
氣滯血瘀	
氣病及血	
血不歸經	血不循經
血熱妄行	
氣隨血脫	血脫氣脫
氣血兩虛	
氣陰兩虛	
傷津	
津脫	亡津液
津液虧損	
津枯血燥	
津虧血瘀	
氣隨液脫	
氣不化津	
水停氣阻	
上厥下竭	
下厥上冒	
心氣盛	
心氣虛	心氣不足
心氣不寧	
心氣不收	心氣不固
心血虛	心血不足
心血瘀阻	
心陰虛	心陰不足
心陽虛	心陽不足
心火上炎	
心火亢盛	
心火內熾	心火內焚
心營過耗	
神不守舍	
熱傷神明	
熱入心包	
逆傳心包	
痰蒙心包	痰迷心竅
痰火擾心	
水氣凌心	
心肝火旺	
心肝血虛	
心胃火燔	
心脾兩虛	
心腎不交	
心肺氣虛	
心虛膽怯	
小腸實熱	
小腸虛寒	
肝氣實	肝氣盛
肝氣上逆	
肝氣不舒	
肝氣不和	
肝氣橫逆	
肝氣犯胃	
肝氣犯脾	
肝虛	
肝氣虛	
肝血虛	
肝陰虛	
肝陽虛	肝虛寒
肝陽上亢	肝陽偏旺
肝陽化火	
肝陽化風	
肝火	
肝火上炎	
肝火犯肺	
肝風	肝風內動, 風氣內動
熱極生風	
肝寒	
寒滯肝脈	
肝熱	
肝實熱	
肝經濕熱	
肝膽濕熱	
肝經實熱	
肝膽俱實	
肝膽氣鬱	
肝氣鬱結	肝鬱
肝鬱脾虛	
肝腎虧損	
肝腎陰虛	
膽熱	
膽實熱	
膽氣不足	膽虛氣怯
脾寒	
脾熱	
脾虛	
脾氣虛	
脾陰虛	
脾陽虛	脾虛寒
脾實	脾氣實
脾實熱	
脾不統血	
濕傷脾陽	
濕傷脾陰	
寒濕困脾	
脾虛濕困	
脾虛生風	
脾胃濕熱	
脾胃虛寒	
脾胃俱虛	
脾胃虛弱	
脾胃俱實	
脾胃陰虛	
脾腎陽虛	
脾失健運	
脾氣不舒	
脾氣不升	
脾氣下陷	
中氣不足	
中陽不振	
胃家實	
胃實	
胃虛	
胃氣虛	
胃陰虛	
胃陽虛	
胃寒	
胃熱	
胃熱消穀	
胃火上升	
胃火熾盛	
胃氣不降	
胃氣上逆	
胃不和	
肺脾兩虛	脾肺兩虛, 肺脾氣虛
肺絡損傷	
肺腎陰虛	
肺腎氣虛	
肺津不布	
肺失淸肅	
痰濁阻肺	
風寒束肺	
肺氣不宣	
肺氣不利	
肺氣上逆	
肺虛	
肺陰虛	
肺氣虛	
肺寒	
肺實	肺氣實
肺火	
肺熱	
肺實熱	
燥氣傷肺	
火熱迫肺	
金破不鳴	
金實不鳴	
大腸寒結	
大腸濕熱	
大腸液虧	
大腸虛寒	
大腸實熱	
熱迫大腸	
大腸熱結	
大腸虛	
大腸實	
大腸熱	
腎虛	
腎精不足	
腎虛水泛	
腎火偏亢	
腎氣不固	
腎不納氣	
腎陰虛	
腎陽虛	腎陽虛衰
命門火衰	
腎氣虛	
精脫	
腎熱	
腎氣實	腎氣盛
腎實	
熱灼腎陰	
膀胱不利	
膀胱氣閉	
膀胱濕熱	
膀胱虛寒	
膀胱失約	
寒入血室	
熱入血室	
熱伏衝任	
衝任不調	
衝任不固	
衝任損傷	
經隧失職	
經氣逆亂	
風中血脈	
風火內旋	
風寒束表	
風濕相搏	
中風	卒中(風), 中風病
中寒	
中寒	
中濕	
燥乾淸竅	
燥結	
熱傷筋脈	
熱閉	
熱遏	
熱結	
熱鬱	
六鬱	
衛陽被遏	
營衛不和	
衛弱營强	
衛强營弱	
氣分寒	
氣分熱	
衛氣同病	
衛營同病	
熱入血分	
血分熱毒	
氣血兩燔	
氣營兩燔	
營陰鬱滯	
傳變	
傳化	
從化	
化熱	
熱化	
化火	
火化	
化風	
風化	
化燥	
燥化	
化寒	
寒化	
化濕	
濕化	
少陰寒化	
少陰熱化	
暑入陽明	
順傳	
逆傳	
不傳	
經盡	
再經	
越經傳	
循經傳	
直中	
並病	
合病	
順證	
逆證	
其他	
運氣學	
五運	
六氣	
歲運	
司天	
在泉	
合陰	
甲子	
干支	
主氣	
客氣	
間氣	
歲會	
天符	
平氣	
天年	
三陰三陽	
開闔樞	
太陽	
陽明	
少陽	
太陰	
少陰	
厥陰	
保命之主	
吸聚之氣	
陰淸之氣	
呼散之氣	
陽煖之氣	
水穀代謝	
氣液代謝	
升降緩束	
完實無病	
素證	
性情	
性質材幹	
容貌詞氣	
體形氣像	
事心身物	
診斷學	
診斷	
診法	
症狀	
體徵	徵候
疾病	
辨病論治	
證	
證型	
診籍	
揆度奇恒	
司外揣內	
四診合參	
辨證	
四診	
八綱	
望診	
望診	
望神	
得神	
失神	
少神	
假神	
昏蒙	
昏厥	
譫妄	
煩躁	
望色	
面色	
面色淡白	
面色蒼白	
面色晄白	
面黑	
面紅	
面靑	
面黃	
面色萎黃	
面浮	
主色	
客色	
病色	
善色	
惡色	
眞臟色	
胕腫	
肌膚甲錯	
抽搐	瘛瘲
便血	圊血
遠血	
近血	
望指紋	
三關	
風關	
氣關	
命關	
舌診	
望舌	
舌象	
舌尖	
舌邊	
舌中	舌心
舌根	舌本
舌體	舌質
舌色	
舌神	
榮枯老嫩	
淡白舌	
淡紅舌	
紅舌	
靑舌	
紫舌	
靑紫舌	
絳舌	
胖大舌	
腫脹舌	
瘦薄舌	
點刺舌	
芒刺舌	
齒痕舌	
裂紋舌	
光剝舌	
鏡面舌	
地圖舌	
舌衄	
强硬舌	
痿軟舌	
顫動舌	
歪斜舌	
短縮舌	
吐弄舌	
舌縱	
舌乾	
麻痹舌	
舌態	
舌形	
舌苔	
苔色	
苔質	
白苔	
白砂苔	
黃苔	
黑苔	
灰苔	
綠苔	
薄苔	
厚苔	
霉醬苔	
潤苔	
燥苔	
燥裂苔	
滑苔	
膩苔	
粘膩苔	
腐苔	
剝苔	舌苔脫落
類剝苔	
染苔	
舌卷	
舌卷囊縮	
舌下絡脈	
聞診	
聞診	
聞聲音	
語聲重濁	
語聲低微	
語言謇澁	
舌謇	
失音	
嘶嗄	
鄭聲	
譫語	
獨語	
錯語	
囈語	
狂言	
太息	
噴嚏	
呵欠	
喘促	
喘鳴	
痰鳴	
咳逆	咳逆上氣
腸鳴	
振水音	
矢氣	
鼻鼾	
口氣	
口臭	
問診	
問診	
問寒熱	
發熱	身熱
惡寒	
畏寒	
惡風	
惡熱	
寒戰	
惡寒發熱	發熱惡寒
但熱不寒	
但寒不熱	
壯熱	
潮熱	
微熱	
日晡潮熱	
午後潮熱	
身熱不揚	
身熱夜甚	
骨蒸	
骨蒸熱	
骨蒸潮熱	
五心煩熱	
煩熱	
手足煩熱	
手足心熱	
手足厥冷	厥冷, 厥逆
厥	
寒熱往來	往來寒熱, 寒熱交作
外寒內熱	
內寒外熱	
問汗	
多汗	大汗
自汗	
盜汗	
冷汗	
絶汗	
戰汗	
頭汗	
手足心汗	
手足汗	
心汗	
腋汗	
陰汗	
無汗	
漏汗	
半身汗出	
半身無汗	
油汗	
大汗淋漓	
神疲	
乏力	
嗜睡	嗜臥
失眠	不寐, 不得眠
多夢	
夢遊	
身痛	
頭痛	
項强	
頭項强痛	
頭重	
眉稜骨痛	
耳痛	
胸痛	
乳房疼痛	
脇痛	
脘痛	胃痛
腹痛	
疝	
背痛	
腰痛	
陰器痛	
足跟痛	
脹痛	
刺痛	
冷痛	
灼痛	
絞痛	
重痛	
掣痛	
隱痛	
空痛	
竄痛	
悶痛	
酸痛	
遊走痛	
痛無定處	
固定痛	
劇痛	
陣發痛	
持續痛	
拘攣	攣急
拘急	
項背拘急	
四肢拘急	
頭重脚輕	
身重	
身癢	
肌膚麻木	
不仁	
筋惕肉瞤	
失血	奪血
喀血	咳血
衄血	
唾血	
蓄血	
目癢	
目痛	
目眩	
目昏	視物模糊, 視瞻昏渺
視岐	
耳鳴	
耳聾	
鼻塞	鼻窒
鼻不聞香臭	
口乾	
口渴	
納呆	
消穀善饑	
口味	
口淡	
口苦	
口甜	
口酸	
口澁	
口鹹	
口麻	
口粘膩	
咽喉不利	
噎	
惡心	
呑食梗塞	
嘔吐	
朝食暮吐	
暮食朝吐	
乾嘔	
宿食	
嗜偏食	
噦	
噯氣	噫氣
呑酸	
心悸	
心下悸	
心慌	
心煩	
虛煩	
心中懊憹	
心下急	
心下堅	心下鞕
心下支結	
心下痞堅	心下痞鞕
心下滿	
痞	
痞滿	
鞕滿	硬滿
胸中痞硬	胸下痞硬
胸悶	
胸脇滿	胸脇苦滿
痃癖	
腹滿	
小腹急結	
小腹拘急	小腹弦急
小腹滿	小腹硬滿
小腹不仁	
臍上悸	
臍傍悸	
臍下悸	臍下悸動
臍下拘急	
臍下不仁	
泄瀉	
大便自利	
水瀉	注泄
瀉下不爽	
完穀不化	
下利淸穀	完穀下利
裏急	
裏急後重	
五更泄	
滑泄	
洞泄	
暴瀉	
溏泄	
寒泄	
濡泄	
飧泄	
便溏	
溏結不調	
便膿血	
大便硬結	
大便乾燥	燥屎
大便滑脫	
小便自利	
小便難	癃閉
小便不利	
小便失禁	
小便頻數	
小便澁痛	
小便渾濁	尿濁
小便淋漓	
小便黃赤	
遺尿	
陽痿	
性欲淡漠	
夢交	
切診	
切診	
脈診	
切脈	
脈象	
脈象主病	
三部九候	
寸口	氣口
寸口診法	
寸關尺	
反關脈	
斜飛脈	
人迎	
趺陽脈	
平脈	
病脈	
胃, 神, 根	
指法	
指目	
布指	
擧, 按, 尋	
推尋	
單按	
總按	
脈氣	
脈靜	
脈躁	
脈暴出	
脈無胃氣	
浮脈	
沈脈	
遲脈	
數脈	
洪脈	
細脈	
虛脈	
實脈	
長脈	
短脈	
滑脈	
澁脈	
弦脈	
緊脈	
濡脈	
緩脈	
緩脈	
微脈	
弱脈	
散脈	
芤脈	
革脈	
牢脈	
伏脈	
動脈	
代脈	
結脈	
促脈	
大脈	
軟脈	
疾脈	
怪脈	
眞臟脈	
雀啄脈	
釜沸脈	
魚翔脈	
蝦遊脈	
屋漏脈	
解索脈	
彈石脈	
偃刀脈	
轉豆脈	
麻促脈	
離經脈	
按診	
腹診	
診尺膚	
診虛裏	
叩擊法	
按腧穴	
七惡	
五善	
八綱辨證	
陰陽辨證	
陰證	
陽證	
陰陽失調證	
傷陽證	
傷陰證	
陰虛證	
陽虛證	
陰陽兩虛證	
陰虛內熱證	
陰虛火旺證	
陰虛陽亢證	
陰虛津虧證	
陰虛水停證	
陰虛濕熱證	
陰虛血瘀證	
陽虛氣滯證	
陽虛濕阻證	
陽虛水泛證	
陽虛痰凝證	
陽虛寒凝證	
陰血虧虛證	
陰盛陽衰證	
陰盛格陽證	
陰損及陽證	
陽損及陰證	
陰竭陽脫證	
淸陽不升證	
戴陽證	
亡陰證	
亡陽證	陽脫證
表裏辨證	
表證	
裏證	
半表半裏證	
表寒證	風寒束表證
表熱證	風熱犯表證, 風熱襲表證
表虛證	
表實證	
風濕襲表證	
暑濕襲表證	
衛表不固證	
裏寒證	
裏熱證	
裏虛證	
裏實證	
表裏俱寒證	
表裏俱熱證	
表裏俱實證	
表裏俱虛證	
表寒裏熱證	外寒裏熱證
表熱裏寒證	
表虛裏實證	
表實裏虛證	
內閉外脫證	
寒熱辨證	
寒證	
熱證	
寒熱錯雜證	
上寒下熱證	
上熱下寒證	
眞寒假熱證	
眞熱假寒證	
熱閉證	
熱極生風證	熱極動風證
虛實辨證	
虛證	
實證	
虛寒證	
虛熱證	
虛實挾雜證	
上盛下虛證	
眞虛假實證	
眞實假虛證	
精氣虧虛證	
病因辨證	
病因辨證	
外風證	
內風證	
中風閉證	
中風脫證	
實熱證	
實寒證	
中寒證	
暑證	
濕證	
外燥證	
內燥證	
凉燥證	
溫燥證	
燥乾淸竅證	
燥結證	
實火證	
火熱證	
虛火上炎證	
膿證	
食積證	
蟲積證	
風痰證	
寒痰證	
熱痰證	
燥痰證	
瘀痰證	
膿痰證	
濕痰證	
痰氣互結證	
痰熱內擾證	
痰熱內閉證	
痰熱動風證	
痰核留結證	
血瘀風燥證	
血瘀水停證	
寒濕內阻證	
寒凝血瘀證	
血寒證	
濕熱毒蘊證	
濕熱下注證	
瘟毒下注證	
風毒證	
風火熱毒證	
火毒證	
火毒內陷證	
陰毒證	
蛇毒內攻證	
石阻證	
風寒證	
風熱證	
風火證	
風濕證	
風燥證	
熱毒證	
濕毒證	
寒濕證	
濕熱證	
陰暑證	
痰濕證	
氣血辨證	
氣血辨證	
氣虛證	
氣陷證	
氣滯證	
氣逆證	
氣閉證	
氣脫證	
氣機失調證	
氣機不利證	
氣機鬱滯證	
氣鬱證	
氣鬱化火證	
寒凝氣滯證	
中氣下陷證	
氣虛不攝證	
氣虛發熱證	
氣虛濕阻證	
氣虛水停證	
氣虛外感證	
氣陰兩虛證	氣陰虧虛證
血虛證	
血脫證	
血瘀證	
蓄血證	
血熱證	
氣血兩虛證	
氣血失調證	
氣虛血瘀證	
氣滯血瘀證	
氣隨血脫證	
氣不攝血證	
血虛挾瘀證	
血虛寒凝證	
血虛風燥證	
血虛生風證	
津液辨證	
津液辨證	
痰證	
飮證	
水停證	
液脫證	
津液虧虛證	津液虧損證
津氣虧虛證	
氣滯水停證	
飮停胸脅證	
風水相搏證	
臟腑辨證	
臟腑辨證	
心病辨證	
心氣虛證	心氣不足證, 心氣虧虛證
心血虛證	心血不足證, 心血虧虛證
心氣血兩虛證	
心虛膽怯證	
心陰虛證	心陰不足證, 心陰虧虛證
心陽虛證	心陽不足證, 心陽虧虛證
心陽虛脫證	
心火上炎證	
心火熾盛證	
熱擾心神證	
心移熱小腸證	
心血瘀阻證	
心脈痹阻證	
痰蒙心神證	
痰火擾心證	痰火擾神證
水氣凌心證	
瘀阻腦絡證	
氣閉神厥證	
飮停心包證	
小腸氣滯證	
肺病辨證	
肺氣虛證	肺氣虧虛證
肺陰虛證	肺陰虧虛證
肺陽虛證	
風寒襲肺證	
風寒束肺證	
風熱犯肺證	
燥邪犯肺證	燥邪傷肺證
肺熱證	
肺熱熾盛證	
痰熱閉肺證	
痰濁阻肺證	
寒痰阻肺證	
暑傷肺絡證	
熱毒閉肺證	
肺燥腸閉證	
脾病辨證	
脾虛證	
脾氣虛證	脾氣虧虛證
脾失健運證	
脾陰虛證	脾陰虧虛證
脾陽虛證	脾陽虧虛證, 脾虛寒證
脾不統血證	
脾虛氣陷證	脾氣下陷證
脾虛濕困證	
脾虛動風證	
脾虛水泛證	
寒濕困脾證	濕困脾陽證
濕熱蘊脾證	
脾胃濕熱證	中焦濕熱證
脾胃虛寒證	脾胃陽虛證
脾胃虛弱證	
脾胃陰虛證	
脾胃不和證	
胃腸病辨證	
胃虛證	
胃氣虛證	
胃陽虛證	胃虛寒證
胃陰虛證	胃陰虧虛證
胃寒證	
胃實寒證	
胃熱證	胃火證, 胃熱壅盛證, 胃火熾盛證
瘀阻胃絡證	
腸燥津虧證	腸燥津傷證
血虛腸燥證	
寒滯胃腸證	
腸道濕熱證	
腸熱腑實證	
胃腸氣滯證	
陰虛動風證	
飮留胃腸證	
蟲積腸道證	
大腸津虧證	
大腸熱結證	
大腸濕熱證	
肝膽病辨證	
肝氣鬱結證	肝鬱證
肝血虛證	肝血虧虛證
肝陰虛證	肝陰虧虛證
肝陽虛證	
肝風內動證	肝風證
肝陽化風證	
肝鬱氣滯證	
肝鬱血瘀證	肝血瘀滯證
肝鬱化火證	
肝火上炎證	
肝火熾盛證	
肝陽上亢證	
肝膽濕熱證	
寒滯肝脈證	
肝經濕熱證	
膽熱證	
膽鬱痰擾證	
膽氣虛證	膽氣虧虛證
蟲擾膽腑證	
腎膀胱病辨證	
腎虛證	
腎精不足證	
腎氣虛證	腎氣虧虛證
腎氣不固證	
腎陰虛證	腎陰虧虛證
腎陰虛火旺證	
腎陽虛證	腎陽虧虛證
腎不納氣證	
腎虛水泛證	
腎經寒濕證	
膀胱虛寒證	
膀胱濕熱證	
熱積膀胱證	
臟腑兼病辨證	
心腎不交證	
心腎陽虛證	
心肺氣虛證	
心脾兩虛證	
心肝血虛證	
肺腎氣虛證	
肺腎陰虛證	
肺腎陽虛證	水寒射肺證
脾肺氣虛證	脾肺兩虛證
肝火犯肺證	
肝氣犯胃證	肝胃不和證
肝鬱脾虛證	肝脾不調證
肝腎陰虛證	
脾腎陽虛證	脾腎虛寒證
各科辨證	
衝任不固證	
衝任失調證	
寒凝胞宮證	
瘀阻胞宮證	
胞宮虛寒證	
胞宮濕熱證	
胞宮積熱證	
濕熱阻滯精 室證	
痰阻精室證	
瘀阻精室證	
風中經絡證	
風寒襲絡證	
風寒阻絡證	
風勝行痹證	
寒勝痛痹證	
濕勝着痹證	
熱邪阻痹證	
外傷瘀滯證	
損傷筋骨證	
風寒犯頭證	
風熱犯頭證	
風濕犯頭證	
瘀血犯頭證	
痰濁犯頭證	
肝火犯頭證	
風火攻目證	
風濕凌目證	
外傷目絡證	
蟲積化疳證	
肝火燔耳證	
風熱犯耳證	
濕熱犯耳證	
痰濕犯耳證	
氣虛耳竅失 充證	
風寒犯鼻證	
風熱犯鼻證	
氣虛鼻竅失 充證	
陰虛鼻竅失 濡證	
風寒襲喉證	
風熱侵喉證	
毒熱攻喉證	
氣滯痰凝咽 喉證	
胃火燔齦證	
濕熱蒸齒證	
虛火灼齦證	
陰虛咽喉失 濡證	
毒火攻脣證	
濕熱蒸口證	
濕熱蒸舌證	
熱毒攻舌證	
血瘀舌下證	
六經辨證	
六經辨證	
太陽病證	太陽病
太陽經證	
太陽腑證	
太陽傷寒證	太陽傷寒
太陽蓄水證	太陽蓄水
陽明病證	陽明病
陽明經證	
陽明腑證	
少陽病證	少陽病
少陽經證	
少陽腑證	
太陰病證	太陰病
太陰中風證	
少陰病證	少陰病
少陰表寒證	
少陰寒化證	
少陰熱化證	
厥陰病證	厥陰病
厥陰熱厥證	
厥陰寒厥證	
太陽蓄血證	
熱入血室證	
衛氣營血辨證	
衛氣營血辨證	
衛分證	
氣分證	
營分證	
血分證	
衛氣同病證	
衛營同病證	
氣營兩燔證	
氣血兩燔證	
熱入血分證	
熱入營血證	
熱盛動風證	
熱盛動血證	
熱入心包證	熱閉心包證
餘熱未淸證	
毒壅上焦證	
風熱疫毒證	
濕遏衛陽證	
邪伏膜原證	
氣分濕熱證	
濕熱鬱阻氣 機證	
濕重於熱證	
熱重於濕證	
濕熱浸淫證	
暑兼寒濕證	
暑濕困阻中 焦證	
暑熱證	
暑濕證	
暑入陽明證	
暑傷津氣證	
暑熱動風證	
暑閉氣機證	
三焦辨證	
三焦辨證	
上焦病證	
中焦病證	
下焦病證	
三焦濕熱證	
上焦濕熱證	
下焦濕熱證	
臨床各科	
內科	
陰病	
陽病	
傷寒	
雜病	
新感	
時疫	
感冒	
時行感冒	
傷濕	
痢疾	
疫毒痢	
休息痢	
噤口痢	
霍亂	
乾霍亂	
瘧	瘧疾(病)
濕瘧	
溫瘧	
寒瘧	
勞瘧	
瘴瘧	
瘴氣	
瘟疫	
大頭瘟	
溫毒	
溫病	
春溫	
風溫	
中暑	暍
冒暑	
傷暑	
伏暑	
暑癎	
暑溫	
暑風	
濕溫	
陰毒	
陽毒	
咳嗽	
乾咳	
五更咳	
肺咳	
哮喘	
哮	
寒哮	冷哮
熱哮	
喘	
實喘	
虛喘	
短氣	
少氣	
肺脹	
肺癰	
肺癆	
梅核氣	
驚悸	
怔忡	
胸痹	
結胸	
心痛	
卒心痛	
眞心痛	
眩暈	頭暈, 瞑眩
神昏	
類中風	
中風前兆症	
中風後遺症	
中絡	
中經	
中腑	
中臟	
半身不隨	偏枯
麻木	
不得臥	失眠
健忘	
痴呆	
陽癎	
陰癎	
癲病	
狂病	
百合病	
胃脘痛	
脘痞	心下痞
實痞	
虛痞	
嘔吐	
吐酸	
嘈雜	
呃逆	噦
噎膈	
反胃	胃反
關格	
便秘	
泄瀉	下利, 泄瀉病
久泄	
脾約	
藏結	臟結
傷食	
黃胖病	
黃疸	
急黃	
陽黃	
陰黃	
穀疸	
酒疸	
肝著	
膽脹	
鼓脹	
膚脹	
脹滿	
水脹	
水腫	水氣(病)
陽水	
陰水	
風水	
皮水	裏水
正水	
石水	
黃汗	
淋病	
熱淋	
石淋	
氣淋	
血淋	
膏淋	
勞淋	
白淫	
白濁	
尿濁	
癃閉	
遺精	
夢遺	
滑精	
早泄	
陽痿	
陽强	
精冷	
精濁	
陰陽易	
奔豚	奔豚氣
鬱病	
血病	
鼻衄	
齒衄	
吐血	
便血	
尿血	
紫斑	
