〜	~
 論』	論』
 론적	론적
 뢰	뢰
 료	료
 療血	 瘀血
 류 	류 
 瘤疾	 痼疾
 륙	륙
 률	률
 른	른
 를	를
 를 	를 
 름	름
 鱗垂	 鱗莖
 림	림
 마 시	 마시
 마 신	 마신
 마 음	 마음
 膜癌	 膿瘍
 膜肢	 瞑眩
 膜弦	 瞑眩
 膜血	 膿血
 만 	만 
 만 든	 만든
 만 들	 만들
 만 성 	 만성 
 만 약	 만약
 만\,	만,
 萬白	 蔥白
 蠻熱	 鬱熱
 蠻證	 鬱證
 많 	 많
 말 고 	 말고 
 말 초	 말초
 먹 	 먹
 먼 저	 먼저
 멀 미	 멀미
 며 	며 
 며\,	며,
 면\,	면,
 면서 	면서 
 滅毛	 絨毛
 滅치	 鍼치
 몇게 한	 멎게 한
 모 두	 모두
 모 르	 모르
 모 순	 모순
 모 양	 모양
 목 적	 목적
 몰 랐	 몰랐
 무 시	 무시
 무를	 무릎
 무름	 무릎
 문 제	 문제
 물 질	 물질
 므로	므로
 미 치	 미치
 未瀉	 未潰
 蜜塞	 壅塞
 蜜葉	 莖葉
 蜜滯	 壅滯
 및 게 한	 멎게 한
 바 꾸	 바꾸
 반 면	 반면
 반 해	 반해
 攀로	 鬱로
 발 병	 발병
 발 생	 발생
 發疼	 發疹
 發疫	 發疹
 方	一方
 방 지	 방지
 膀上	 臍上
 膀下	 臍下
 배 가 	 배가 
 배 뇨	 배뇨
 배 려	 배려
 배 열	 배열
 배 오	 배오
 배 출	 배출
 白 朮 	 白朮 
 변 증	 변증
 變證	 鬱證
 병 변	 병변
 병 용	 병용
 병 증	 병증
 病 症	 病症
 병 태	 병태
 보 면	 보면
 보 이	 보이
 보 인	 보인
 보 자	 보자
 보 하	 보하
 譜語	 譫語
 복 용	 복용
 腹 證	 腹證
 腹 痛	 腹痛
 복용 하	 복용하
 福皮	 橘皮
 본 방	 본방
 不 	 不
 不 利	 不利
 부 어	 부어
 부 정	 부정
 府감	 疳감
 部는 	部는 
 부터	부터
 不喉 	 不嘔 
 분 비	 분비
 분 석	 분석
 噴氣	 噯氣
 불 명	 불명
 불 안	 불안
 비 교	 비교
 비 염	 비염
 臂曲	 彎曲
 痺痒	 痺症
 臂이	 腎이
 濱	 瀉
 빈 도	 빈도
 頻果	 蒴果
 빠 	 빠
 뻐 근	 뻐근
 뻬	 빼
 쁜	쁜
 사 라	 사라
 사 람	 사람
 사 실	 사실
 사 용	 사용
 사 이	 사이
 사 탐	 사람
 사 탐은	 사람은
 사\^하	 사용하
 四瀉	 四瀆
 瀉髓	 薦髓
 사통하	 사용하
 살 아	 살아
 상 당	 상당
 상 반	 상반
 상 태	 상태
 上窟	 上竄
 上臂	 上脣
 생 각	 생각
 생 활	 생활
 서 양	 서양
 서 양의학	 서양의학
 腺說	 臆說
 설 명	 설명
 설 사	 설사
 泄清	 泄瀉
 성 격	 성격
 성 질	 성질
 誠\,	 鍼,
 誠과	 鍼과
 誠으	 鍼으
 誠을	 鍼을
 誠의	 鍼의
 誠이	 鍼이
 성인 병	 성인병
 소 개	 소개
 소 견	 소견
 소 리	 소리
 소 실	 소실
 소 화	 소화
 小勝	 小腸
 소청통	소청룡
 屬	屬
 속 도	 속도
 속 이 	 속이 
 수 없이 많	 수없이 많
 수록 	수록 
 瘦脈	 瘈脈
 垂葉	 莖葉
 瘦症	 痺症
 순 환	 순환
 스러	스러
 스러운	스러운
 스럽	스럽
 시 간	 시간
 시 기	 시기
 시 작	 시작
 시실	 사실
 시켜	시켜
 시키	시키
 식 사	 식사
 식 후	 식후
 식시	 식사
 식채	 식체
 신 경정신	 신경정신
 신 장	 신장
 실 시한	 실시한
 실 제	 실제
 心 身證	 心身證
 심 하	 심하
 心 下	 心下
 심 하게	 심하게
 심 해	 심해
 써\,	써,
 씩 	씩 
 아 주	 아주
 아직 도 	 아직도 
 안 \^다\.	 안 된다.
 앉 	 앉
 않 	 않
 알 아	 알아
 癌狂	 癲狂
 癌瘤	 癲癎
 았	았
 았다	았다
 也	也
 야 간 	 야간 
 약 간	 약간
 얄게	 얕게
 痒症	 痺症
 痒痛	 痺痛
 어 혈	 어혈
 얽은 	 엷은 
 掩A	 攙入
 없 	 없
 었	었
 었다	었다
 에 	에 
 에게	에게
 에게 	에게 
 에는	에는
 에대	에 대
 에도 	에도 
 에서	에서
 여 기	 여기
 여 부	 여 부
 여 성	 여성
 연 약	 연약
 열게 잔	 옅게 잔
 염\,	염,
 葉膝	 葉腋
 葉胶	 葉腋
 였	였
 였다	였다
 英果	 莢果
 營熱	 鬱熱
 오 르	 오르
 오 행	 오행
 와 	와 
 와 병용	와 병용
 와는	와는
 완 성	 완성
 외 회전	 외회전
 요 구	 요구
 요 소	 요소
 요 통	 요통
 우 리	 우리
 원 인	 원인
 원 칙	 원칙
 월 경	 월경
 웬지	 왠지
 위 해 	 위해 
 유 사	 유사
 유 지	 유지
 유 효	 유효
 有 效	 有效
 癒瘤	 癲癎
 癒證	 癲證
 儒하	 濡하
 愈穴	 兪穴
 癒痕	 癥瘕
 으로	으로
 으로 	으로 
 으며	으며
 은 	은 
 銀齒	 鋸齒
 을 	을 
 을 둔	을 둔
 飮 水	 飮水
 陰德脈	 陰蹻脈
 陰瘦	 陰痿
 응 용	 응용
 의 	의 
 의 문을 	 의문을
 의 해 	 의해 
 醫氣	 腎氣
 의시는	 의사는
 의측	 외측
 意했	 薏苡
 이 	이 
 이 나타	이 나타
 이 뇨	 이뇨
 이 동	 이동
 이 되어	이 되어
 이 때	 이때
 이 뚜	이 뚜
 이 런	 이런
 이 로	 이로
 이 야기	 이야기
 이 없	이 없
 이 용	 이용
 이 있	이 있
 이 제는	 이제는
 이 좋	이 좋
 이 포함	이 포함
 이 해하	 이해하
 이고 	이고 
 이나	이나
 이나 	이나 
 이다\.	이다.
 이때문	 이 때문
 이라 	이라 
 이라고 	이라고 
 이를 동안	 이틀 동안
 이며	이며
 이며 	이며 
 이므	이므
 이었	이었
 이었다	이었다
 이주 	 아주 
 익들	 약들
 인 격	 인격
 인 식	 인식
 인 체	 인체
 인 한 	 인한 
 인 해	 인해
 인 해	 인 해
 因性	因性
 人革	 人蔘
 일 리	 일리
 일 반	 일반
 일 반적	 일반적
 일 본	 일본
 일 어	 일어
 일 으	 일으
 일 정	 일정
 일 정하	 일정하
 임 신	 임신
 입니	입니
 자 신	 자신
 자 주	 자주
 者\,	者,
 雌蔬	 雌蕊
 작 용	 작용
 嚼乾	 嗌乾
 잘 못된	 잘못된
 장 애	 장애
 腸關	 膈關
 腸俞	 膈俞
 腸應	 腸癰
 腸痛	 腸癰
 張하	 脹하
 재 발	재발
 적 	적 
 贼 	 鹹 
 적 용	 적용
 적 응	 적응
 적 지	 적지
 적 합	 적합
 적\,	적,
 赤病	 赤痢
 的으	的으
 적으로	적으로
 的인	的인
 적인 	적인 
 전 신	 전신
 절 대	 절대
 粘疲	 粘痰
 접적	접적
 정 도	 정도
 정 리	정리
 정 맥	 정맥
 정 신	 정신
 政量	 眩暈
 제 거	 제거
 조 금	 조금
 조 절	 조절
 族生	 蔟生
 腫療	 腫瘍
 腫腹	 腫脹
 腫傷	 腫瘍
 腫臭	 腥臭
 좋 	 좋
 좋은	 좋은 
 좋은  	 좋은 
 주 요	 주요
 주 의	 주의
 主 하	 主하
 줄 기	 줄기
 중 심	 중심
 中嘔	 中暍
 中濱	 中瀆
 中助	 中肋
 中淸	 中渚
 즐면 	 줄면 
 증 명	 증명
 증 상	 증상
 증\,	증,
 症\,	症,
 之	之
 지 금	 지금
 지 나	 지나
 지 름 	 지름 
 지 않	지 않
 지 않은	지 않은
 지와면서	 자라면서
 지이\"	 자아
 지주 	 자주 
 稷	 稜
 稷角	 稜角
 診 	診 
 진 정	 진정
 진 해	 진해
 쪽	쪽
 쪽 	쪽 
 차 이	 차이
 참쌀	 찹쌀
 瘡疾	 瘧疾
 瘡疾\,	 瘧疾,
 처럼 	처럼 
 凄弱	 痿弱
 天腸	 天牖
 청 소년	 청소년
 체 질	 체질
 촬熱	 鬱熱
 출 혈	 출혈
 취 	 취
 치 료	 치료
 치투	 치루
 타 서	 타서
 奪毛	 茸毛
 湯\,	湯,
 太絡	 太谿
 痛\, 狂	 癲, 狂
 痛悸	 痛痺
 痛에	 癲에
 痛은 心血不足	 癲은 心血不足
 통종	 통증
 痛證\,	 癲證,
 투 여	 투여
 툭 이	 특이
 특 	 툭 
 특 색	 특색
 판한 	 관한 
 팬찮	 괜찮
 팬히	 괜히
 篇	篇
 篇』	篇』
 평 소	 평소
 폐 색	 폐색
 蔽生	 腋生
 肺癒	 肺癰
 蔽腫	 腋腫
 肺痛	 肺癰
 포 함	 포함
 褒蠻	 痰鬱
 褒이	 痰이
 幅도	 嘔도
 疲과	 痰과
 피로 해	 피로해
 疲을	 痰을
 疲이	 痰이
 하 고	 하고
 하 나	 하나
 하 는	 하는
 하 루	 하루
 하 복	 하복
 下 腹	 下腹
 하 여	 하여
 하 지	 하지
 하게 	하게 
 하고\,	하고,
 하는 작용	하는 작용
 하다\.	하다.
 下臂	 下脣
 하여 	하여 
 한 것	한 것
 한 다	 한다
 한 방약	 한방약
 한 방을	 한방을
 한 방제제	 한방제제
 한다\.	한다.
 한의 학	 한의학
 한잔	 한 잔
 할 수 	할 수 
 항 생제	항생제
 행구	 헹구
 허 약	 허약
 弦量	 眩暈
 賢뿐	 腎뿐
 賢에	 腎에
 賢을	 腎을
 賢이	 腎이
 혈 관	 혈관
 혈 압	 혈압
 혈 전	 혈전
 俠絡	 俠谿
 호 전	 호전
 혹 은 	 혹은 
 홀러	 흘러
 홀리	 흘리
 홑어	 흩어
 化膽	 化膿
 花蜜	 花莖
 花奮	 花蕾
 花塞	 花莖
 화藥	 芍藥
 환 지	 환자
 歡症	 鬱症
 환지	 환자
 黃等	 黃芩
 黃藥	 黃蘗
 黃흑	 黃芩
 회 	회 
 횐	 흰
 효 과	 효과
 효과 적	 효과적
 胶生	 腋生
 喉疼	 喉痺
 後絡	 後谿
 훅은 	 혹은 
 胸 滿	 胸滿
 痕氣	 痰氣
 痕瘡	 痘瘡
 히 	히 
 힘 이	 힘이
！1徊虫	蛔蟲
!寫	瀉
！响蟲	蛔蟲
！响虫	蛔蟲
"區	嘔
#門冬	麥門冬
#삭돌	축삭돌
\)濟	臍
\*敦	大敦
\*裏	大棗
\*裏湯	大棗湯
\*成	大成
\*烏頭	大烏頭
\*腸	大腸
\*腸炎	大腸炎
\*椎	大椎
\*便	大便
\*便 	大便 
\*汗	大汗
、	, 
。	. 
：	: 
:  	: 
;!	瀉
;1心	瀉心
;B心	瀉心
；t 甘	朮甘
;令	冷
；令	冷
；寫	瀉
;寫	瀉
;易	湯
;湯	湯
？	?
@盲	回盲
'@盲	回盲
^'	‘
\{	(
\}寫	瀉
~ 	~
’ 고 	’고 
’ 라	’라
’ 라 	’라 
’ 라고	’라고
’ 은 	’은 
’ 이	’이
’ 이라	’이라
’ 이란	’이란
’ 하는 	’하는 
’•甘藍味辛!仁i	苓甘薑味辛夏仁湯
’는	’는 
“ 	 “
“區	嘔
”고했	”고 했
「 	「
「上古天眞	『上古天眞
」등	」 등
『腦內革命J	『腦內革命』
【목표\.	【목표】
\"이라	”이라
\( 「 	(「
\(古方®	(古方派)
\(祉\)	(趾)
\(賢	(腎
\)!!候	腹候
\)’寫	瀉
\)s黃劑	麻黃劑
\)恍	胱
\*戟	大戟
\*棄	大棗
\*氣	大氣
\*道	大道
\*豆	大豆
\*豆黃	大豆黃
\*方	大方
\*補	大補
\*小	大小
\*柴胡	大柴胡
\*著	黄耆
\*劑	大劑
\*主	大主
\*靑葉	大靑葉
\*阪	大阪
\*學	大學
\*寒	大寒
\*黃	大黃
\*黃甘草	大黃甘草
\,	, 
\, 라고	’라고
\, 賢	, 腎
\,\(	, (
\,라는 	’라는 
\,로	’로
\,으로	’으로
\.\.\.	…
\/v夢	人蔘
\?桂	苓桂
\^•§•체	수용체
\^였다	하였다
\^용체	수용체
\^ᅡ	사
\{水毒\)	(水毒)
\|\|	|
\-\>	→
\-\-其	一其
\-\-端	一端
\+味敗	十味敗
\+全大	十全大
\<古方®	(古方派)
\<心下\)	(心下)
\<寒\)	(寒)
\>1•	유아
\-II	#NAME?
'\I忽	惚
\l40	140
\lOO	100
\t\t보麥ᄎ	甘麥大
\-貫 堂	一貫堂
\-貫堂	一貫堂
«區	嘔
»區	嘔
»上择	臍上悸
□	口
□渴	口渴
□苦	口苦
□鼻	口鼻
□舌	口舌
□瘡	口瘡
□齒	口齒
□ᅡ	마
◦일	0일
→ 名	一名
®損	虧損
°C	℃
•	·
0客	喀
0區	嘔
0嘔	嘔
0君子	四君子
①	① 
⑴	-1
1 療	1療
①\t	① 
1◦	10
11區	嘔
11歲	噦
11胃承氣	調胃承氣
1季	悸
1方纖	漢方槪論
1한방의학’	‘한방의학’
②	② 
⑵	-2
②\t	② 
③	③ 
⑶	-3
③\t	③ 
3◦年	30年
④	④ 
⑷	-4
④\t	④ 
4실	사실
⑤	⑤ 
⑤\t	⑤ 
5병杏仁	茯苓杏仁
5쟎飮	茯苓飮
5肖	硝
⑥	⑥ 
⑥\t	⑥ 
6==	6==
⑦	⑦ 
7 ᅡ	가
7\]슴	가슴
7\]눙	가능
7\]능	가능
7\]능해	가능해
7\>족	가족
⑦\t	⑦ 
7==	7==
71능	가능
71루	가루
71부장	가부장
71슴	가슴
7fc	朮
7ft	朮
7ft甘	朮甘
7ᅵ분	기분
⑧	⑧ 
⑧\t	⑧ 
80\-90	80~90
8S上洋	臍上悸
8S上择	臍上悸
8씩	g씩
8을	g을
⑨	⑨ 
⑨\t	⑨ 
⑩	⑩ 
⑩\t	⑩ 
Ⅰ형	I형
ⅡI	Ⅲ
A 夢	人蔘
A 性	人性
A 中	人中
A 體	人體
A1 냅스	시냅스
Af상	사상
Af용	사용
a經活血	疎經活血
A夢	人蔘
A門	入門
A民	人民
A事	人事
A性	人性
A身	人身
A於	入於
A迎	人迎
A絶	人絶
A中	人中
A體	人體
BI下	臍下
BS上择	臍上悸
BT氣	肝氣
B區	嘔
D 區	嘔
〜dence	evidence
d區	嘔
D亞	啞
eg◦	ego
ffi	疝
ffi上If	臍上悸
ffi儀	巫儀
ffi症	疝症
ffi痛	澁痛
ffi痛	疝痛
ffi血	補血
ffl醫	巫醫
fH冬湯	麥門冬湯
fS杏甘石	麻杏甘石
f客	喀
f季	悸
GP Ib	GPⅠb
GP Ilb	GP Ⅱb
HZ	Hz
H下择	臍下悸
I!白皮	桑白皮
I~II	Ⅰ~Ⅱ
IⅠ군	Ⅱ군
ICD\-lO	ICD-10
II 수용체	Ⅱ 수용체
III	Ⅲ
III\-IV	Ⅲ~Ⅳ
III형	Ⅲ형
II형	Ⅱ형 
'I季	悸
i丘墟	丘墟
I군	Ⅰ군
i念	捻
I命	論
I法	祛
i寫	瀉
I生	性
I燕	嚥
I咸	鍼
I형	Ⅰ형
Jtt	朮
j念	捻
j法	祛
j寫	瀉
J恍	胱
K 上择	臍上悸
K門	肛門
K上择	臍上悸
lcm	1cm
lg	1g
lOO	100
m!	ml
m中益氣	補中益氣
m杏甘石	麻杏甘石
mᅵ	ml
n客	喀
n區	嘔
o10g	olog
of무	아무
P 渴	口渴
P 眼	口眼
P渴	口渴
P客疲	喀痰
P乾	口乾
P苦	口苦
P嘔	嘔
P舌	口舌
P眼	口眼
P瘡	口瘡
r 內景篇」	「內景篇」
r 外形篇」	「外形篇」
r 雜病篇」	「雜病篇」
r 증후편」	「증후편」
r 風病諸候	『風病諸候
r四氣調神	『四氣調神
r上古天	『上古天
R上洋	臍上悸
r宣明五氣	『宣明五氣
r陰陽應象	『陰陽應象
r증후편」	「증후편」
r치료편」	「치료편」
R澤	尺澤
S 甘草湯	炙甘草湯
SM\-IV	SM-Ⅳ
SM\-\-IV	SM-Ⅳ
symb이	symbol
S方	古方
s上梓	臍上悸
S心湯	瀉心湯
S枝	桂枝
Tfc	朮
Tffc	朮
tig정선	신경정신
Tit	朮
Tlfc	朮
TNF\-a	TNF-α
Ttt	朮
Ttt甘	朮甘
Ttt湯	朮湯
type II	type Ⅱ
t季	悸
t正仲	怔忡
u嘔	嘔
Wdence	evidence
W上 1f	臍上悸
W上偉	臍上悸
w上择	臍上悸
y 글로불린	γ글로불린
y\-GTP	γ-GTP
y글로불린	γ글로불린
加 Jtt 附	加朮附
가 능	 가능
가 락	가락
가 루	가루
가 리	가리
가 슴	 가슴
가 운데	가운데
가 장 	 가장 
가 지 	가지 
加;1t 附	加朮附
加;itt 湯	加朮湯
嘉祛	嘉祐
加求湯	加朮湯
가날프	가냘프
가되	가 되
가되고	가 되고
가되는	가 되는
가된	가 된
가된다	가 된다
가들	가 들
가들어	가 들어
加龙湯	加朮湯
가많	가 많
가매우	가 매우 
加味通通	加味逍遙
가부족	가 부족
가분명	가 분명
假石膏	煆石膏
가아프	가 아프
가야할	가야 할
가없	가 없
가요구	가 요구
가운 데	가운데
가운넷	가운뎃
가움	가 움
가이 	가 이 
가있	가 있
가잘	가 잘
가존재	가 존재
가좋	가 좋
가중요	가 중요
가튀	가 튀
가특징	가 특징
가포함	가 포함
각 종 	각 종 
覺癒瘦	覺痲痺
各仁	杏仁
角條	魚際
각중상	각증상
角賛皮	角贅皮
肝 實	肝實
간 염	간염
간 장	간장
癎癎	癲癎
간것	간 것
간경 화	간경화
肝戀	肝鬱
肝蠻	肝鬱
肝蜜	肝鬱
谏蜜	煉蜜
肝攀	肝鬱
肝臂	肝腎
肝醫	肝腎
肝賢	肝腎
肝效	肝欬
喝	嘔
갈 비	갈비
갈 수록	갈수록
갈 증	갈증
갈수	갈 수
减	減
감 각	감각
감 소	감소
감 정	감정
減灸	鍼灸
甘舊味	甘薑味
敢權	甄權
感胃	感冒
甘草끓	甘草湯
감초팅	감초탕
갑 골	갑골
갑 자	갑자
갔 	갔
講諫	講諦
降獨	降濁
講妄	譫妄
綱胃	調胃
姜縮	萎縮
僵霞	僵蠶
降下港	降下湯
綱血	調血
姜黃	萎黃
갖 	갖
같 	같
같은 쪽	같은쪽
같은쪽	같은 쪽
皆 屬	皆屬
개 요	개요
開 花	開花
開穀	開竅
開關通發	開關通竅
開窮	開竅
開閨	開闔
開閨福	開闔樞
皆履	皆屬
開蠻	開鬱
開敷	開竅
객 	객
客许	客忤
舉	擧
거 나	거나
거 나 	거나 
거 리	거리
거 림	거림
거 운	거운
居硬	痞硬
去穀	去殼
据구	梔子
居滿	痞滿
去浮	去滓
柜葉	栢葉
祛癒	祛瘀
据子	梔子
巨闘	巨闕
祛蔽	祛瘀
去疲	去痰
祛疲	祛痰
居骸	居髎
巨骸	巨髎
鍵	腱
건 강	건강
건 망	건망
健 忘	健忘
건 져	건져
건 중탕	건중탕
건&탕	건강탕
乾«湯	乾薑湯
乾■湯	乾薑湯
乾薑易	乾薑湯
乾舊	乾薑
腱灸	鍼灸
乾臺	乾薑
乾童	乾薑
乾藍	乾薑
乾藍湯	乾薑湯
乾蓮	乾薑
乾蓮渴	乾薑湯
乾蔓	乾薑
乾墓	乾薑
건밍	건망
乾蕃	乾薑
乾塞湯	乾薑湯
乾甚	乾薑
乾養	乾薑
건중 탕	건중탕
乾重附子	乾薑附子
建中游	建中湯
建中淸	建中湯
乾唱	乾嘔
乾蓄	乾薑
乾幅	乾嘔
乾畫	乾薑
걸 리	걸리
걸쪽	걸쭉
检	栓
검 사	검사
檢子	梔子
檢轉	捻轉
臉左	臍左
臉下	臍下
臉穴	腧穴
것 과	것과
것 도	것도
것 만	것만
것 보다	것보다
것 으	것으
것 을	것을
것 이	것이
것 인	것인
것 일	것일
것 임	것임
것 입	것입
것 처	것처
것\s+들	것들
것같	것 같
것같이	것 같이 
게 는	게는
揭 色	褐色
게되	게 되
게된	게 된
게된 	게 된 
게만	게 만
憩白	蔥白
揭色	褐色
게하	게 하
게한	게 한
게한다	게 한다
게할 	게 할 
게해	게 해
揭紅	褐紅
揭黃	褐黃
揭灰	褐灰
揭黑	褐黑
겠 	겠
겨 져	겨져
隔俞	膈俞
擊痛	掣痛
견 갑	견갑
見A	見人
견다	견디
肩騰	肩臑
肩髓	肩髃
肩狎	肩胛
遣遙散	逍遙散
肩隅	肩髃
肩肿	肩胛
肩骸	肩髎
결 과	결과
결 국	결국
결 론	결론
結 實	結實
결 절	결절
結梗	桔梗
結梗湯	桔梗湯
結於脾	結於髀
結痴	結痂
缺風	祛風
겼 	겼
경 계	경계
경 골	경골
經 絡	經絡
경 맥	경맥
經 脈	經脈
梗 米	粳米
경 사	경사
경 우	경우
경 우에	경우에
경 추	경추
경 향	경향
경 험	경험
경 혈	경혈
經 穴	經穴
경 화	경화
硬 化	硬化
經!\^說	經絡學說
擎急	攣急
慶끓	慶熙
驚惊	驚悸
驚瘤	驚癎
梗米	粳米
經發痺	經發揮
驚腹	鱉腹
驚俘	驚悸
경불 순	경불순
擎引	攣引
驚淨	驚悸
驚择	驚悸
經疲眩	脛痠眩
頃弦	瞑眩
驚懐	驚悸
계 속	계속
계 지탕	계지탕
계 통	계통
계 피	계피
桂梗	桔梗
桂舊裏	桂薑棗
계내 금	계내금
械毛	絨毛
悸庭	椿庭
계지 탕	계지탕
桂枝5병丸	桂枝茯苓丸
桂枝膀丸	桂枝茯苓丸
계지복 령환	계지복령환
桂枝碑丸	桂枝茯苓丸
桂枝易	桂枝湯
桂枝淸	桂枝湯
桂枝海	桂枝湯
계择	계悸
桂형	桂芍
库	痺
库	痒
고 \^다\.	고 있다.
고 려	고려
고 플	고플
고 하 \^다	고 하였다
古A	古人
苦is	苦滿
庫角	犀角
枯梗	桔梗
고기술	고 기술
고기자	구기자
고끊	고 끊
고나서	고 나서
고달여	고 달여
顧倒	顚倒
고도한다	고도 한다
고려 한	고려한
苦流	苦澁
鼓膜	鼓脹
膏盲	膏肓
苦夢	苦蔘
고방 파	고방파
고본다	고 본다
고생각	고 생각
顧損	虧損
顧息	顱息
고식 염	고식염
고앉	고 앉
고알려	고 알려
고여겨	고 여겨
雇亏	虧
膏育	膏肓
鼓陰	竅陰
고이 	고 이 
고있	고 있
고있다	고 있다
鼓張	鼓脹
苦贼	苦鹹
고적용	고 적용
庫瘡	癉瘧
搞瘡	瘑瘡
고치료	고 치료
庫痛	癉瘧
库痛	痺痛
枯風	祛風
고하였	고 하였
苦喊	苦鹹
고했	고 했
辜丸	睾丸
顧會	顖會
鼓懐	鼓慄
고ᅡ	과
고ㅏ	과
曲類	曲頰
穀陰	竅陰
穀張	穀脹
棍	樞
곤 란	곤란
棍子	梔子
곤한다	곤 한다
골 격	골격
골 관절	골관절
골 근	골근
골 반	골반
骨 蒸	骨蒸
骨库	骨痺
骨絲	骨繇
骨嵩	骨窩
骨痒	骨痺
곰 팡이	곰팡이
곰광이	곰팡이
供 乾	烘乾
공 격	공격
供乾	烘乾
과 도 	과도 
과 민성	과민성
果 實	果實
과 학의 	과학의 
과같	과 같
과관련	과 관련
瓜囊	瓜蔞
과다리	과 다리
瓜茶	瓜蔕
과로 하	과로하
瓜寞	瓜蔞
과배합	과 배합
과손가	과 손가
瓜養	瓜蔞
과어깨	과 어깨
過遙散	逍遙散
瓜雲	瓜蔞
과유사	과 유사
瓜藉	瓜蔕
瓜奠	瓜蔞
過充	過亢
鍋齒	鋸齒
과치료	과 치료
과투인	과루인
瓜辦	瓜瓣
과함께	과 함께
藿亂	霍亂
霍麥	瞿麥
霍香	藿香
관 계	관계
관 련	관련
關 元	關元
관 절	관절
關 節	關節
관 점	관점
관 찰	관찰
棺梗	桔梗
關窮	關竅
棺堂	榕堂
관람근	판람근
貫時	貫肘
寬옮	崑崙
貫腸	貫膈
寬斋	崑崙
寛斋	崑崙
觀體	顴髎
